"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","272","208","154"
"8 years in 10","291","223","163"
"5 years in 10","331","250","181"
"2 years in 10","382","278","199"
"1 year in 10","No occurrence","292","209"
