"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","249","210","185"
"8 years in 10","259","221","194"
"5 years in 10","278","242","210"
"2 years in 10","297","264","227"
"1 year in 10","307","275","236"
