"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","178","152","132"
"8 years in 10","191","163","139"
"5 years in 10","215","184","154"
"2 years in 10","240","205","169"
"1 year in 10","253","216","177"
