"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","Insufficient data","Insufficient data","203"
"8 years in 10","Insufficient data","Insufficient data","214"
"5 years in 10","Insufficient data","Insufficient data","234"
"2 years in 10","Insufficient data","Insufficient data","254"
"1 year in 10","Insufficient data","Insufficient data","265"
