Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1982-1983,0,0,0,1,12,27.5,10,4,2,9.5,3,0,69,Pierce
1983-1984,0,0,0,0,17,30.8,4.8,19.5,2.5,12.5,2.5,0,89.6,Pierce
1984-1985,0,0,T,13.5,23,79.8,T,51.5,30,15.3,0.3,0,213.4,Pierce
1985-1986,0,0,0,1,48.9,6.8,12,17.5,2,9.9,T,0,M,Pierce
1986-1987,0,0,0,0,8.1,1.2,27.1,9.5,11,7.1,0,0,64,Pierce
1987-1988,0,0,0,0,5.3,28.5,29.9,18.3,46.5,13.8,4,0,146.3,Pierce
1988-1989,0,0,0,0,21.7,19.9,62.6,23,27,9,0,0,163.2,Pierce
1989-1990,0,0,0,0,15.5,0.8,73.4,103.1,12.5,5,0.5,0,210.8,Pierce
1990-1991,0,0,0,0,22,52.5,10.5,4,22,18,1,0,130,Pierce
1991-1992,0,0,0,5.5,8,9.5,4,4,0,10.5,0,0,41.5,Pierce
1992-1993,0,0,0,0,4.5,57.5,19.5,5,T,7,0,0,93.5,Pierce
1993-1994,0,0,0,0,11,2.5,7,67.5,25,3,0,0,116,Pierce
1994-1995,0,0,0,1,68,33,2.5,14.5,12,11,0,0,142,Pierce
1995-1996,0,0,0,T,1.5,3.5,70,25.5,5,3,0.5,0,109,Pierce
1996-1997,0,0,0,8,22,79,30,21,44,8.5,1,0,213.5,Pierce
1997-1998,0,0,0,0,6.5,20.5,47,16,14,2,0,0,106,Pierce
1998-1999,0,0,0,0,9,54.5,47.5,57,49.5,12.5,12.5,0,M,Pierce
1999-2000,0,0,0,0,4,27,69.5,10,15.5,3,0.5,0,M,Pierce
2000-2001,0,0,0,0,7,12,23,12,11,16.5,3.5,0,85,Pierce
2001-2002,0,0,0,T,16.5,47.5,81,22,76.5,16,7,T,266.5,Pierce
2002-2003,0,0,0,0,0,21,0,6.5,37.5,23,5,0,93,Pierce
2003-2004,0,0,0,M,41,48,45,15,18,0,0,0,M,Pierce
2004-2005,0,0,0,0.5,8,6,14.5,10.5,10.5,3.5,0,0,53.5,Pierce
2005-2006,0,0,0,0,30.5,18.5,M,18.5,30.5,5.5,0,0,M,Pierce
2006-2007,0,0,0,0,62,12.5,M,34.5,M,5,0,0,M,Pierce
2007-2008,0,0,0,0,M,91.5,61.5,M,M,M,M,2.5,M,Pierce
2008-2009,0,0,0,0,2.5,M,60.5,11,82,M,M,0,M,Pierce
2009-2010,M,0,0,M,M,M,M,0,M,M,7,0,M,Pierce
2010-2011,0,0,0,2,M,26.5,19.5,65,M,33.5,M,M,M,Pierce
2011-2012,M,M,M,M,29.7,M,M,M,M,2.8,M,M,M,Pierce
2012-2013,0,M,M,M,M,M,M,M,M,19.3,M,M,M,Pierce
2013-2014,M,M,M,M,M,M,M,45,11.5,M,M,M,M,Pierce
2014-2015,M,M,M,M,M,10,M,M,M,10,M,0,M,Pierce
2015-2016,0,0,0,M,M,M,M,9.1,M,0,M,0,M,Pierce
2016-2017,0,0,0,M,M,M,25.2,M,M,1,2.5,0,M,Pierce
2017-2018,0,0,0,M,21,M,27,49.8,13.3,10.2,M,0,M,Pierce
2018-2019,0,0,0,M,M,M,M,M,16.5,M,M,0,M,Pierce
2019-2020,0,0,T,2,M,M,M,44.7,M,4,M,0,M,Pierce
2020-2021,0,0,M,M,M,M,M,83.5,19,M,M,0,M,Pierce
2021-2022,0,0,0,M,M,100.9,31.5,28.5,6,M,M,0,M,Pierce
