Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1971-1972,0,0,0,1,0,14,M,M,M,M,0,0,M,Columbia
1972-1973,0,0,0,0,0,M,M,M,0,T,0,M,M,Columbia
1973-1974,0,0,0,0,3,13,M,0,0,T,0,0,M,Columbia
1974-1975,0,0,0,M,0,T,8,3,T,1,0,0,M,Columbia
1975-1976,0,0,0,0,1,3,T,0,M,0,0,0,M,Columbia
1976-1977,0,0,0,0,0,1.5,M,0,1,0,0,0,M,Columbia
1977-1978,0,0,0,0,T,M,3,0,0,0,0,0,M,Columbia
1978-1979,0,0,0,0,8.5,13.3,11.3,T,3,0,0,0,36.1,Columbia
1979-1980,0,0,0,0,4.3,1.3,18.7,4.8,2.5,0,0,0,31.6,Columbia
1980-1981,0,0,0,0,0.4,0,T,0,0,0,0,0,0.4,Columbia
1981-1982,0,0,0,0,T,12,M,0,0.5,T,0,0,M,Columbia
1982-1983,0,0,0,0,0,4.5,1,0,0,0,0,0,5.5,Columbia
1983-1984,0,0,0,0,0,17.4,1,0,0,0,0,0,18.4,Columbia
1984-1985,0,0,0,0,T,13.6,0.8,12,T,0,0,0,26.4,Columbia
1985-1986,0,0,0,T,12,3.2,3,6,0,0,0,0,M,Columbia
1986-1987,0,0,0,0,0,0.5,9.9,0,0,0,0,0,10.4,Columbia
1987-1988,0,0,0,0,0,4.1,6.6,T,1.2,0,0,0,11.9,Columbia
1988-1989,0,0,0,0,T,M,15.4,8.9,7.3,0,0,0,M,Columbia
1989-1990,0,0,0,0,0,0.8,T,10.9,3.6,0,0,0,15.3,Columbia
1990-1991,0,0,0,0,0,15.2,4,0,4,0,0,0,23.2,Columbia
1991-1992,0,0,0,1.7,2.5,T,T,0,0,0,0,0,4.2,Columbia
1992-1993,0,0,0,0,0.5,5.4,22,7.9,0.2,0,0,0,36,Columbia
1993-1994,0,0,0,0,0.9,T,0,9.6,0,0,0,0,10.5,Columbia
1994-1995,0,0,0,0,1.2,7.6,T,5.1,0.5,0,0,0,14.4,Columbia
1995-1996,0,0,0,0,0,1.7,29.9,2,T,0,0,0,33.6,Columbia
1996-1997,0,0,0,0,1.8,19.6,4.9,T,1,0,0,0,27.3,Columbia
1997-1998,0,0,0,0,0,3.4,8.4,0.3,0,T,0,0,12.1,Columbia
1998-1999,0,0,0,0,0,1.7,1,2.8,0.3,0,0,0,5.8,Columbia
1999-2000,0,0,0,0,0,0.1,5.3,1.2,0.8,0,0,0,7.4,Columbia
2000-2001,0,0,0,0,0.7,2.8,10.7,0.3,0,0.3,0,0,14.8,Columbia
2001-2002,0,0,0,0,T,4.8,4,T,7.8,0,0,0,16.6,Columbia
2002-2003,0,0,0,0,0,3.2,1.9,0,0,1.1,0,0,6.2,Columbia
2003-2004,0,0,0,0,0,10.2,7.1,0,0,0,0,0,17.3,Columbia
2004-2005,0,0,0,0,0,0,5,0,0,0,0,0,5,Columbia
2005-2006,M,M,M,M,M,M,M,M,M,M,M,M,M,Columbia
2006-2007,M,M,M,M,M,M,T,0,0,0,0,0,M,Columbia
2007-2008,0,0,0,0,M,M,M,3.5,0,0,0,M,M,Columbia
2008-2009,M,M,0,M,0,M,7.5,3.3,7,0,0,0,M,Columbia
2009-2010,0,0,0,0,0,5.4,0,0,0,0,0,0,5.4,Columbia
2010-2011,0,0,0,0,13.2,8.8,0.6,3,0.3,0,0,M,M,Columbia
2011-2012,M,M,M,M,M,M,M,M,M,M,M,M,M,Columbia
2012-2013,M,M,M,M,M,M,M,M,M,M,M,M,M,Columbia
2013-2014,M,M,M,M,M,M,M,M,M,M,M,M,M,Columbia
2014-2015,M,M,M,M,M,M,M,M,M,M,M,M,M,Columbia
2015-2016,M,M,M,M,M,3.1,M,0,0,M,M,M,M,Columbia
2016-2017,M,M,M,M,M,19.5,12.1,2.1,0,M,M,M,M,Columbia
2017-2018,M,M,M,M,0.5,8,0,2,T,0,M,M,M,Columbia
2018-2019,M,M,M,M,M,M,0.6,19.8,4.6,M,M,M,M,Columbia
2019-2020,M,M,M,M,M,M,M,M,M,M,M,M,M,Columbia
2020-2021,M,M,M,M,M,M,M,M,M,M,M,M,M,Columbia
2021-2022,0,0,0,0,0,M,2,1,0,M,0,0,M,Columbia
