Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1980-1981,0,0,0,0,T,1.5,T,0.3,0,0,0,0,1.8,Franklin
1981-1982,0,0,0,0,0,M,11,0.3,0.5,0.5,0,0,M,Franklin
1982-1983,0,0,0,0,T,5.6,0.8,M,0,0,0,0,M,Franklin
1983-1984,0,0,0,0,0,15.6,1,0,0,0,0,0,16.6,Franklin
1984-1985,0,0,0,M,0,M,M,M,M,0,0,0,M,Franklin
1985-1986,0,0,0,0,M,M,M,M,0,0,0,0,M,Franklin
1986-1987,0,0,0,0,0,M,M,0,0,0,0,0,M,Franklin
1987-1988,0,0,0,0,T,4.1,3.3,0,0.5,0,0,0,7.9,Franklin
1988-1989,0,0,0,0,T,3.1,6,13,2.5,0,0,0,24.6,Franklin
1989-1990,0,0,0,0,0,0.5,T,8.7,0,0,0,0,9.2,Franklin
1990-1991,0,0,0,0,0,5.8,6.5,T,1,0,0,0,13.3,Franklin
1991-1992,0,0,0,T,0.4,M,T,0,0,0,0,0,M,Franklin
1992-1993,0,0,0,0,2,8.7,11.1,8.1,3.6,0,0,0,33.5,Franklin
1993-1994,0,0,0,0,0.5,0.6,0,0.1,0,0,0,0,1.2,Franklin
1994-1995,0,0,0,0,0.5,2.9,0.3,0.2,T,0,0,0,3.9,Franklin
1995-1996,0,M,0,0,0,M,16.6,M,0.4,0,0,0,M,Franklin
1996-1997,0,0,0,0,10.5,18.3,2,3.6,1.1,0,0,0,35.5,Franklin
1997-1998,0,0,0,0,0,2.3,4,T,0,0,0,0,6.3,Franklin
1998-1999,0,0,0,0,0,2,M,T,T,0,M,0,M,Franklin
1999-2000,0,M,0,0,0,M,3.8,0.9,0.8,0,0,0,M,Franklin
2000-2001,0,0,0,0,1.7,M,4.8,2.7,0,T,0,0,M,Franklin
2001-2002,0,0,0,M,3.9,5,T,T,2.5,0,0.8,M,M,Franklin
2002-2003,0,0,0,0,0,M,3.2,0,0,0,0,0,M,Franklin
2003-2004,0,0,0,0,T,3,M,4.7,0.4,0,0,0,M,Franklin
2004-2005,0,0,0,0,0.3,1,9,T,0,0,0,M,M,Franklin
2005-2006,0,0,0,0,M,M,M,0,M,0,0,0,M,Franklin
2006-2007,0,0,0,0,1.2,1.1,M,0.2,0,0,M,0,M,Franklin
2007-2008,0,0,0,0,2.2,2,M,4.1,1.1,M,0,0,M,Franklin
2008-2009,0,0,0,0,0,11.3,7.1,T,0.3,2.9,0,0,21.6,Franklin
2009-2010,0,0,0,0,0.2,3.6,0,0,0,M,0,0,M,Franklin
2010-2011,M,0,0,0,8.3,M,M,M,M,M,M,M,M,Franklin
2011-2012,M,M,M,M,M,M,M,M,M,M,M,M,M,Franklin
2012-2013,M,M,M,M,M,M,M,M,M,M,M,M,M,Franklin
2013-2014,M,M,M,M,M,M,M,M,M,M,M,M,M,Franklin
2014-2015,M,M,M,M,M,M,M,M,M,M,M,M,M,Franklin
2015-2016,0,M,0,0,1.8,8.5,0.7,0,0,0,0,0,M,Franklin
2016-2017,0,0,0,0,0,8.3,6.8,8.1,0,0,0,M,M,Franklin
2017-2018,M,M,0,0,0,3.4,0,3.3,0.2,0,0,0,M,Franklin
2018-2019,0,0,0,0,0,2.5,T,21.6,2.8,0,0,0,26.9,Franklin
2019-2020,0,0,0,0,0,1.5,3.5,2.6,1.7,0,0,0,9.3,Franklin
2020-2021,0,0,0,0,1,3.7,2.3,14.2,0,0,0,0,21.2,Franklin
2021-2022,0,0,0,0,T,M,M,M,0,M,M,M,M,Franklin
