Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1978-1979,0,0,0,0,2.8,5.9,12.8,0,0,0,0,0,21.5,Grant
1979-1980,0,0,0,0,M,0,M,M,M,0,0,0,M,Grant
1980-1981,0,0,0,0,0,M,0,0,0,0,0,0,M,Grant
1981-1982,0,0,0,0,0,2.9,4.1,0,0,T,0,0,7,Grant
1982-1983,0,0,0,0,0,9.6,3.5,0,0,0,0,M,M,Grant
1983-1984,0,0,0,0,0,M,M,0,0,0,0,0,M,Grant
1984-1985,0,0,0,0,0,M,M,7.5,T,0,0,0,M,Grant
1985-1986,0,0,0,0,M,M,M,M,0,0,0,0,M,Grant
1986-1987,0,0,0,0,0,3,2.9,0,0,0,0,0,5.9,Grant
1987-1988,M,M,0,0,0,M,4.2,0,0,0,0,0,M,Grant
1988-1989,0,0,0,0,M,5,2.6,M,1.3,0,0,0,M,Grant
1989-1990,0,0,0,0,0,0,1.5,5,0,0,0,0,6.5,Grant
1990-1991,0,0,0,0,0,M,4,0,0,0,0,0,M,Grant
1991-1992,0,0,0,0,0,0,M,0,0,0,0,0,M,Grant
1992-1993,0,0,0,0,1.3,M,M,6,1.5,0,M,0,M,Grant
1993-1994,0,0,0,0,T,M,0,T,0,0,0,0,M,Grant
1994-1995,0,0,0,0,1,M,3,0,0,0,0,0,M,Grant
1995-1996,0,0,0,0,0.5,5.2,M,2.1,0,0,0,0,M,Grant
1996-1997,0,0,0,0,10.3,M,4.5,0,0,0,0,0,M,Grant
1997-1998,0,0,0,0,0,M,M,0,0,0.2,0,M,M,Grant
1998-1999,0,0,0,0,0,7.5,M,0.3,0,0,0,0,M,Grant
1999-2000,0,0,0,0,0,M,M,5,0,0,0,M,M,Grant
2000-2001,0,0,0,0,5.8,M,M,1.8,0,0,0,0,M,Grant
2001-2002,0,0,0,0,2.2,1,M,2,T,0,0,0,M,Grant
2002-2003,0,0,0,0,0,0,M,0,0.6,0,0,0,M,Grant
2003-2004,0,0,0,0,0.3,M,M,1.5,1,0,0,0,M,Grant
2004-2005,0,0,0,0,0,4,13.4,0,0,0,0,0,17.4,Grant
2005-2006,M,0,0,0,M,1.7,2.5,0,0,0,0,0,M,Grant
2006-2007,0,0,0,0,0,M,2.3,0,0,0,0,M,M,Grant
2007-2008,0,0,0,0,0,4.1,M,0.5,0,0,0,0,M,Grant
2008-2009,0,0,0,0,0,M,6.9,M,0,0,0,0,M,Grant
2009-2010,0,0,0,0,0.5,5.1,1,0,0,0,0,0,6.6,Grant
2010-2011,0,0,0,0,6.8,5.9,1.7,6.7,0,0,0,0,21.1,Grant
2011-2012,0,0,M,0,0,T,9.2,0,0,0,0,0,M,Grant
2012-2013,0,0,0,0,0.4,2.5,5.2,0,0,0,0,0,M,Grant
2013-2014,0,M,0,0,0,0.5,3.9,2.7,0.5,0,M,0,M,Grant
2014-2015,0,M,0,0,0.9,T,2.7,0,0,0,0,0,M,Grant
2015-2016,M,0,M,0,1,11,7.3,0,0,0,0,0,M,Grant
2016-2017,M,M,0,M,0,10.3,7.6,9.3,0,0,0,0,M,Grant
2017-2018,M,0,0,0,1.5,2.6,4.8,2.5,0,0,0,0,M,Grant
2018-2019,0,0,0,0,0,3.3,1.4,8.7,1.5,0,0,0,14.9,Grant
2019-2020,0,0,0,0,0,2.5,5,4.8,0,0,0,0,12.3,Grant
2020-2021,0,0,0,0,0,7,1.7,2.9,0,0,0,0,11.6,Grant
2021-2022,0,0,0,0,M,5.7,6.3,0,0,0,0,0,M,Grant
