Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1912-1913,0,0,0,T,0.3,9.1,35.1,8.1,0.7,T,0,0,53.3,Spokane
1913-1914,0,0,0,T,1.4,4.8,4.3,4.1,1.2,T,0,0,15.8,Spokane
1914-1915,0,0,0,0,0.3,11.5,8,2.5,T,T,T,0,22.3,Spokane
1915-1916,0,0,0,0,10.4,11.7,18.1,8,8.6,2.3,T,0,59.1,Spokane
1916-1917,0,0,0,0,5.8,13.2,8.3,11.9,9.7,1,0,0,49.9,Spokane
1917-1918,0,0,0,T,0,6.7,8.7,7.4,3.2,T,0,0,26,Spokane
1918-1919,0,0,0,0,2,4.4,3.2,21.9,4.6,0,0,0,36.1,Spokane
1919-1920,0,0,0,2.1,8.9,2.8,6.5,0.5,3,3.9,0,0,27.7,Spokane
1920-1921,0,0,0,T,T,5.3,11.1,3.4,5,T,T,0,24.8,Spokane
1921-1922,0,0,0,0,10.5,3.2,13.7,10.4,5.5,1,T,0,44.3,Spokane
1922-1923,0,0,0,0,T,31,5.4,13.9,3.1,T,T,0,53.4,Spokane
1923-1924,0,0,0,0,1.3,6.5,5,1.3,0.5,T,0,0,14.6,Spokane
1924-1925,0,0,0,0,5.7,10.7,11,T,0.7,T,0,0,28.1,Spokane
1925-1926,0,0,0,T,5.2,3.4,11.3,2.5,0.3,3.8,0,0,26.5,Spokane
1926-1927,0,0,1.4,0,0.2,12.8,8.3,8.7,2.6,1,0,0,35,Spokane
1927-1928,0,0,0,0,4.4,15,9.3,1,T,T,0,0,29.7,Spokane
1928-1929,0,0,0,0,0.9,8,18.9,2.8,2,2.8,0,0,35.4,Spokane
1929-1930,0,0,0,0,0,2.5,10.8,2.6,T,0,0,0,15.9,Spokane
1930-1931,0,0,0,0.6,5.4,8.6,5.8,2.6,0.5,T,0,0,23.5,Spokane
1931-1932,0,0,0,0,13.9,18.4,20.4,8.3,12.5,0,0,0,73.5,Spokane
1932-1933,0,0,0,0,0.3,9.9,15.7,9.8,2,3.8,T,0,41.5,Spokane
1933-1934,0,0,0,2.6,2.5,2.8,1.3,0.3,0,T,0,0,9.5,Spokane
1934-1935,0,0,0,T,1,7.9,20.6,1.5,0.6,T,T,0,31.6,Spokane
1935-1936,0,0,0,0.3,2.3,2.7,11.3,21.2,2.1,0,0,0,39.9,Spokane
1936-1937,0,0,0,0,T,9.5,36,16.5,0.6,T,0,0,62.6,Spokane
1937-1938,0,0,0,0,2.8,13.5,6.2,21.1,3.6,0,T,0,47.2,Spokane
1938-1939,0,0,0,0,1.2,9.2,6,26.3,14.3,T,0,0,57,Spokane
