Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1971-1972,0,0,0,0.9,6.2,37.9,13.2,4.8,2.5,3.5,0,0,69,Ferry
1972-1973,0,0,0,0,8.5,6.1,8.7,13,T,0.6,0,0,36.9,Ferry
1973-1974,0,0,0,0.1,30.5,17.7,7.1,17.7,2.7,M,0,0,M,Ferry
1974-1975,0,0,0,0,2.4,21.1,14.8,15.3,T,0,0,0,53.6,Ferry
1975-1976,0,0,0,2,11.9,8,11.9,9,8.3,0,0,0,51.1,Ferry
1976-1977,0,0,0,0,T,9.3,6.7,2,3.5,0,0,0,21.5,Ferry
1977-1978,0,0,0,0,5.2,17.4,17.8,6.5,0,0,0,0,46.9,Ferry
1978-1979,0,0,0,0,6.2,7.9,8.1,12.6,T,0,M,0,M,Ferry
1979-1980,0,0,0,0,3.8,10,15.8,8.9,6.9,0,0,0,45.4,Ferry
1980-1981,0,0,0,0,2,22.1,4.8,1.1,0,0,0,0,30,Ferry
1981-1982,0,0,0,0,2.5,14.4,21.5,2.2,1.5,0,0,0,M,Ferry
1982-1983,0,0,0,0,8.8,17.2,12.4,2.9,0,0,0,0,M,Ferry
1983-1984,0,0,0,0,3.6,28.1,7.7,1.3,0,1.5,0,0,M,Ferry
1984-1985,0,0,0,5,22.9,15.1,3.3,12.3,6.3,0,0,0,M,Ferry
1985-1986,0,0,0,0.5,7.1,10.2,18.1,11.1,0,3.5,0,0,50.5,Ferry
1986-1987,0,0,0,0,2,12.3,14.6,2.6,0.8,0,0,0,32.3,Ferry
1987-1988,0,0,0,0,1.2,10.2,6,T,3.6,0,0.5,0,M,Ferry
1988-1989,0,0,0,0,3.2,M,4.1,13.5,3.7,0.2,0,0,M,Ferry
1989-1990,0,0,0,0,3.5,1.2,7.4,11.6,2.3,0.6,0,0,26.6,Ferry
1990-1991,0,0,0,0,2.9,8.3,15.1,T,9.3,0,0,0,35.6,Ferry
1991-1992,0,0,0,3,9.7,5.8,11.2,3.7,0,0,0,0,33.4,Ferry
1992-1993,0,0,0,0,10.2,23.2,15.6,7.2,1.2,0,0,0,57.4,Ferry
1993-1994,0,0,0,0,0.9,22.5,4.1,2.1,1,0,0,0,30.6,Ferry
1994-1995,0,0,0,0.8,17.5,6.5,8.8,2.8,0,0,0,0,M,Ferry
1995-1996,0,0,0,0,14.3,20.6,16.7,6.7,1.2,0,0,0,59.5,Ferry
1996-1997,0,0,0,0,21.5,41.7,9.7,3,2.2,0,0,0,78.1,Ferry
1997-1998,0,0,0,0,3.6,7,27.3,0.5,0.9,0,0,0,39.3,Ferry
1998-1999,0,0,0,0,1.9,19.9,6.4,12.8,2.5,0,0,0,M,Ferry
1999-2000,0,0,0,0,0.5,4.5,20.9,1.4,2.7,0,0,0,30,Ferry
2000-2001,0,0,0,0,7.2,16.2,8.3,3.7,2.8,0,0,0,38.2,Ferry
2001-2002,0,0,0,0.3,7.4,28.6,7.9,4.8,3.4,0,0,0,52.4,Ferry
2002-2003,0,0,0,0,0,22.7,15.1,0,0,0,0,0,37.8,Ferry
2003-2004,0,0,0,0,2,21.2,15.5,3.7,1.8,0,0,0,44.2,Ferry
2004-2005,0,0,0,0,1.4,15.8,12.7,0,0.7,0,0,0,30.6,Ferry
2005-2006,0,0,0,0,10.2,15.8,12.7,1.6,3.5,0,0,0,43.8,Ferry
2006-2007,0,0,0,0,16,19.1,4.2,5.2,1.2,0,0,0,45.7,Ferry
2007-2008,0,0,0,0,T,M,M,4.4,7.5,0,0,0,M,Ferry
2008-2009,0,0,0,0,2.6,32.4,13.3,18,M,6,0,0,M,Ferry
2009-2010,0,0,0,2,2.9,11.3,19,4.3,2,1,1,0,43.5,Ferry
