Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1977-1978,0,0,0,0,5.5,37.6,20.6,15.3,0.3,T,0,0,79.3,Pend Oreille
1978-1979,0,0,0,T,12.9,20.1,19.6,21.1,1.5,0,0,0,75.2,Pend Oreille
1979-1980,0,0,0,T,5.1,13.8,20.8,5.7,6,T,0,0,51.4,Pend Oreille
1980-1981,0,0,0,0,2,21.9,1.2,5.2,0,0.4,0,0,30.7,Pend Oreille
1981-1982,0,0,0,0,0,13.8,40.2,18.7,0.2,T,0,0,72.9,Pend Oreille
1982-1983,0,0,0,0,3.3,32.9,12.7,6.2,T,T,0,0,55.1,Pend Oreille
1983-1984,0,0,0,0,1,25.1,10.3,2.8,M,T,0,0,M,Pend Oreille
1984-1985,0,0,0,1.4,24.3,47.7,3,33.4,10.6,T,T,0,120.4,Pend Oreille
1985-1986,0,0,0,T,15.5,9.4,27.5,17,T,2.5,T,0,71.9,Pend Oreille
1986-1987,0,0,0,0,0.8,15.6,15.5,3.3,0.3,T,0,0,35.5,Pend Oreille
1987-1988,0,0,0,0,1.1,28.1,11.7,6.8,T,0,0,0,47.7,Pend Oreille
1988-1989,0,0,0,0,1.5,31.5,23,22.9,3.1,0,0,0,82,Pend Oreille
1989-1990,0,0,0,0,M,M,M,35.3,M,0,0,0,M,Pend Oreille
1990-1991,0,0,0,0,M,M,23,0,16,T,0,0,M,Pend Oreille
1991-1992,0,0,0,0,M,4.2,22.8,1,0,0,0,0,M,Pend Oreille
1992-1993,0,0,0,0,M,39.2,15.5,14.5,1.5,0,0,0,M,Pend Oreille
1993-1994,0,0,0,0,M,M,7.2,5,0,0,0,0,M,Pend Oreille
1994-1995,0,0,0,0,22,14,2,8,5,0,0,0,51,Pend Oreille
1995-1996,0,0,0,0,0,M,M,4.7,M,0,0,0,M,Pend Oreille
1996-1997,0,0,0,0,M,M,13.4,6.5,M,M,0,0,M,Pend Oreille
1997-1998,0,0,0,0,0,M,M,2.4,0,0,0,0,M,Pend Oreille
1998-1999,0,0,0,0,0,M,M,M,1.5,0,0,0,M,Pend Oreille
1999-2000,0,0,0,0,M,M,M,M,M,0,0,0,M,Pend Oreille
2000-2001,0,0,0,0,7.5,M,8.6,M,M,0,0,0,M,Pend Oreille
2001-2002,0,0,0,0,10.5,M,14.3,9.6,5.6,0,0,0,M,Pend Oreille
2002-2003,0,0,0,0.1,M,11.5,M,M,1,0,0,0,M,Pend Oreille
2003-2004,0,0,0,0,M,18.8,25.5,2,3.5,0,0,0,M,Pend Oreille
2004-2005,0,0,0,0,2,4.5,11.5,M,0,0,0,0,M,Pend Oreille
2005-2006,0,0,0,0,3.3,5.3,9.8,2.3,10,0,0,0,30.7,Pend Oreille
2006-2007,0,0,0,0,5,M,M,9.5,0,0,0,0,M,Pend Oreille
2007-2008,0,0,0,0,0,M,M,M,7.8,0,0,0,M,Pend Oreille
2008-2009,0,0,0,0,0,55.9,15.3,0.6,5.5,0,0,0,77.3,Pend Oreille
2009-2010,0,0,0,M,M,M,M,2,M,M,M,0,M,Pend Oreille
2010-2011,0,0,0,M,M,M,M,M,M,M,M,M,M,Pend Oreille
2011-2012,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
2012-2013,M,M,M,M,M,M,M,6.4,0.2,M,M,M,M,Pend Oreille
2013-2014,0,M,M,0,M,M,18.4,M,M,M,M,M,M,Pend Oreille
2014-2015,0,M,0,M,M,M,M,M,M,M,M,M,M,Pend Oreille
2015-2016,M,M,M,0,M,M,M,M,M,0,M,M,M,Pend Oreille
2016-2017,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
2017-2018,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
2018-2019,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
2019-2020,M,M,0,1,M,M,M,M,M,M,M,M,M,Pend Oreille
2020-2021,M,M,M,M,M,M,M,M,M,0,0,M,M,Pend Oreille
2021-2022,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
