Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1986-1987,0,0,0,0,0,0,0,0,0,0,0,0,0,Snohomish
1987-1988,0,0,0,0,0,0,0,0,0,0,0,0,0,Snohomish
1988-1989,0,0,0,0,0,0,0,5.5,M,0,0,0,M,Snohomish
1989-1990,0,0,0,0,0,0,0,M,0,0,0,0,M,Snohomish
1990-1991,0,0,0,0,0,M,0,0,0,0,0,0,M,Snohomish
1991-1992,0,0,0,0,0,0,0,0,0,0,0,0,0,Snohomish
1992-1993,0,0,0,0,0,M,M,0,0,0,0,0,M,Snohomish
1993-1994,0,0,0,0,0,0,0,0,0,0,0,0,0,Snohomish
1994-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,Snohomish
1995-1996,0,0,0,0,0,0,0,0,0,0,0,0,0,Snohomish
1996-1997,0,0,0,0,0,0,0,0,0,0,0,0,0,Snohomish
1997-1998,0,0,0,0,0,0,0,0,0,0,0,0,0,Snohomish
1998-1999,0,0,0,0,0,0,0,0,0,0,0,0,M,Snohomish
1999-2000,0,0,0,0,0,0,M,0,0,0,0,0,M,Snohomish
2000-2001,0,0,0,0,0,0,0,0,0,0,0,0,0,Snohomish
2001-2002,0,0,0,0,0,0,M,0,0,0,0,0,M,Snohomish
2002-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,Snohomish
2003-2004,0,0,0,0,M,0,M,0,0,0,0,0,M,Snohomish
2004-2005,0,0,0,0,0,0,M,0,0,0,0,0,M,Snohomish
2005-2006,0,0,0,M,0,0,M,0,0,0,0,0,M,Snohomish
2006-2007,0,0,0,0,0,0,0,0,M,0,0,0,M,Snohomish
2007-2008,0,0,0,0,0,0,0,0,0,3,0,0,M,Snohomish
2008-2009,0,0,0,0,M,M,0,0,0,0,M,M,M,Snohomish
2009-2010,M,0,0,0,0,0,0,0,0,M,0,0,M,Snohomish
2010-2011,0,0,0,0,0,0,M,M,M,M,M,M,M,Snohomish
2011-2012,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
2012-2013,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
2013-2014,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
2014-2015,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
2015-2016,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
