Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1953-1954,0,0,0,0,0,T,12.3,0,0.3,T,0,0,12.6,Lewis
1954-1955,0,0,0,T,T,2,0,2,0.8,T,0,0,4.8,Lewis
1955-1956,0,0,0,0,6,6.5,1.5,5,2,0,0,0,21,Lewis
1956-1957,0,0,0,0,0,T,4.5,4,0,0,0,0,8.5,Lewis
1957-1958,0,0,0,0,0,0,0,0,T,0,0,0,T,Lewis
1958-1959,0,0,0,0,0,0,3,3,0,0,0,0,6,Lewis
1959-1960,0,0,0,0,0,0,8.3,0,6,0,0,0,14.3,Lewis
1960-1961,0,0,0,0,1,0,0,0,T,T,0,0,1,Lewis
1961-1962,0,0,0,0,0,1,M,5.5,T,0,0,0,M,Lewis
1962-1963,0,0,0,0,0,0,2.5,0,0,0,0,0,2.5,Lewis
1963-1964,0,0,0,0,0,0,0,0,0,0,0,0,0,Lewis
1964-1965,0,0,0,0,M,8.8,6.8,0,0,0,0,0,M,Lewis
1965-1966,0,0,0,0,0,2.5,0,T,8.5,0,0,0,11,Lewis
1966-1967,0,0,0,0,0,2,1,0,T,0,0,0,3,Lewis
1967-1968,0,0,0,0,0,2,8.5,0,0,0,0,0,10.5,Lewis
1968-1969,0,0,0,0,0,6,20.5,1,0,0,0,0,27.5,Lewis
1969-1970,0,0,0,0,0,0,M,0,0,T,0,0,M,Lewis
1970-1971,0,0,0,0,0,T,9,5.5,T,0,0,0,14.5,Lewis
1971-1972,0,0,0,0,0,4,10.8,0,T,T,0,0,14.8,Lewis
1972-1973,0,0,0,0,0,6.5,T,0,0,0,0,0,6.5,Lewis
1973-1974,0,0,0,0,0,1,T,T,T,0,0,0,1,Lewis
1974-1975,0,0,0,0,0,0,T,0,0,T,0,0,T,Lewis
1975-1976,0,0,0,0,0,1,0,0,0,0,0,0,1,Lewis
1976-1977,0,0,0,0,0,0,0,0,0,0,0,0,0,Lewis
1977-1978,0,0,0,0,1.5,T,0,0,0,0,0,0,1.5,Lewis
1978-1979,0,0,0,0,M,M,T,0,0,0,0,0,M,Lewis
1979-1980,0,0,0,0,0,0,11,10,0,0,0,0,21,Lewis
1980-1981,0,0,0,0,0,0,0,0,0,0,0,0,0,Lewis
1981-1982,0,0,0,0,0,0,3.5,0,0,0,0,0,M,Lewis
1982-1983,0,0,0,0,0,M,0,0,M,0,0,0,M,Lewis
1983-1984,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,Lewis
1984-1985,0,0,0,0,0,M,0,3,0,0,0,0,M,Lewis
1985-1986,0,0,0,0,3.5,1.5,0,0,0,0,0,0,5,Lewis
1986-1987,0,0,0,0,0,0,0,0,0,0,0,0,0,Lewis
1987-1988,0,0,0,0,0,T,0,0,0,0,0,0,T,Lewis
1988-1989,0,0,0,0,0,0,0,5,1.8,0,0,0,6.8,Lewis
1989-1990,0,0,0,0,0,0,0,M,0,0,0,0,M,Lewis
1990-1991,0,0,0,0,0,M,0,0,0,0,0,0,M,Lewis
1991-1992,0,0,0,0,0,0,0,0,0,0,0,0,0,Lewis
1992-1993,0,0,0,0,0,2,0,0,0,0,0,0,2,Lewis
1993-1994,0,0,0,0,0,0,0,0,0,0,0,0,0,Lewis
1994-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,Lewis
1995-1996,0,0,0,M,0,0,0,0,0,0,0,0,M,Lewis
1996-1997,0,0,0,0,0,0,M,0,0,0,0,0,M,Lewis
1997-1998,0,0,0,0,0,0,0,0,0,0,0,0,0,Lewis
1998-1999,0,0,0,0,0,0,0,0,0,0,0,0,0,Lewis
1999-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,Lewis
2000-2001,0,0,0,0,0,0,0,0,0,0,0,0,0,Lewis
2001-2002,0,0,0,0,0,0,0,M,0,0,0,0,M,Lewis
2002-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,Lewis
2003-2004,0,0,0,0,0,0,0,M,M,0,0,0,M,Lewis
2004-2005,0,0,0,0,0,0,0,M,0,0,0,0,M,Lewis
2005-2006,0,0,0,0,0,1.5,0,0,T,0,0,0,1.5,Lewis
2006-2007,0,0,0,0,0,0,0.1,T,0,0,0,0,0.1,Lewis
2007-2008,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,Lewis
2008-2009,0,0,0,0,0,M,0,0,0,0,M,0,M,Lewis
2009-2010,0,0,0,0,0,0,M,0,0,0,0,0,M,Lewis
2010-2011,0,0,0,0,0,0,M,M,M,M,M,M,M,Lewis
2011-2012,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
2012-2013,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
2013-2014,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
2014-2015,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
2015-2016,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
2016-2017,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
2017-2018,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
2018-2019,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
2019-2020,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
2020-2021,M,M,M,M,M,M,M,M,M,M,M,M,M,Lewis
