Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
2007-2008,0,0,0,0,3,M,M,7.5,6,0,0,0,M,Skamania
2008-2009,0,0,0,0,0,M,26.5,2.5,5.5,0,0,0,M,Skamania
2009-2010,0,0,0,0,0,9,0,0,0,0,0,0,M,Skamania
2010-2011,0,0,0,0,4.5,T,M,M,M,M,M,M,M,Skamania
2011-2012,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
2012-2013,M,M,M,M,M,M,M,M,M,M,0,M,M,Skamania
2013-2014,M,0,0,M,M,T,M,M,0,0,0,0,M,Skamania
2014-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,Skamania
2015-2016,0,0,0,0,0,M,M,0,0,0,0,0,M,Skamania
2016-2017,0,0,0,0,0,29.6,20.6,8,5,0,0,0,63.2,Skamania
2017-2018,0,0,0,M,0,4.5,0,12.3,0,0,0,0,M,Skamania
2018-2019,0,0,0,0,0,0,0,15.5,4.5,0,0,0,20,Skamania
2019-2020,0,0,0,0,0,0,2.6,M,0,0,0,0,M,Skamania
2020-2021,0,0,0,0,0,0,0,14,0,0,0,0,14,Skamania
2021-2022,0,0,0,0,0,24.5,3.5,0.3,0,3,0,0,31.3,Skamania
