Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1984,-2,20,21,23,22,34,39,41,25,18,12,-12,M,Kittitas
1985,-3,-14,19,24,27,36,M,38,21,22,-13,M,M,Kittitas
1986,M,-8,22,22,29,39,38,43,29,23,14,6,M,Kittitas
1987,-4,14,19,25,31,36,45,M,M,21,M,4,M,Kittitas
1988,5,-3,20,23,31,33,37,39,29,20,21,-4,M,Kittitas
1989,8,-14,8,25,32,40,38,43,31,M,19,18,M,Kittitas
1990,14,1,18,27,30,40,46,38,31,25,24,-14,M,Kittitas
1991,5,22,20,26,29,35,42,38,30,13,13,18,5,Kittitas
1992,11,21,22,23,28,36,43,33,28,22,13,5,5,Kittitas
1993,-12,2,15,26,34,35,43,36,27,23,-4,20,-12,Kittitas
1994,14,-5,18,28,28,32,45,40,35,26,9,-1,-5,Kittitas
1995,-3,-2,11,22,33,38,44,37,27,14,11,11,-3,Kittitas
1996,-21,-20,10,25,26,37,36,40,27,21,14,4,-21,Kittitas
1997,-2,10,24,21,26,41,43,43,35,24,15,13,-2,Kittitas
1998,4,19,19,26,30,41,50,42,34,23,27,-3,-3,Kittitas
1999,16,13,17,22,26,34,39,43,25,21,20,M,M,Kittitas
2000,-2,13,21,M,M,M,M,M,23,22,13,M,M,Kittitas
2001,11,6,19,26,26,37,46,M,30,23,21,14,M,Kittitas
2002,12,M,17,22,25,38,M,37,M,M,6,23,M,Kittitas
2003,15,10,21,21,26,M,M,42,34,20,M,M,M,Kittitas
2004,M,M,M,M,32,38,44,46,M,M,M,M,M,Kittitas
2005,M,11,23,25,M,M,M,M,27,25,M,M,M,Kittitas
2006,18,-1,19,23,26,39,43,M,M,M,M,M,M,Kittitas
2007,M,M,M,M,M,M,M,M,M,M,M,M,M,Kittitas
2008,M,M,M,M,M,M,M,M,M,M,M,M,M,Kittitas
2009,M,M,M,M,M,M,M,M,M,14,18,-3,M,Kittitas
2010,18,18,22,23,27,36,41,35,37,24,-5,-3,-5,Kittitas
2011,-4,-5,14,24,27,36,41,39,30,22,14,6,-5,Kittitas
2012,7,12,20,22,27,33,40,39,31,21,21,11,7,Kittitas
2013,1,20,19,24,26,38,44,44,34,21,11,-4,-4,Kittitas
2014,16,5,18,25,33,40,43,45,28,30,8,7,5,Kittitas
2015,7,17,19,24,32,39,47,39,28,30,7,4,4,Kittitas
2016,-6,18,22,32,34,33,46,41,31,25,27,4,-6,Kittitas
2017,-13,-5,18,25,M,40,45,39,31,24,25,5,M,Kittitas
2018,14,5,20,27,36,35,41,42,33,24,18,19,M,Kittitas
2019,18,2,-3,26,27,36,41,43,35,13,8,8,M,Kittitas
2020,4,13,13,23,30,37,43,44,36,22,21,13,4,Kittitas
2021,19,12,22,22,29,37,49,38,35,20,20,6,6,Kittitas
2022,M,6,17,23,33,37,M,45,33,M,M,M,M,Kittitas
