Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1974-1975,0,0,0,0,3,33,27.5,28,7,3,0,0,101.5,Stevens
1975-1976,0,0,0,T,13,14.5,26,9,6.5,0,0,0,69,Stevens
1976-1977,0,0,0,0,1,13,10,3,3,0,0,0,30,Stevens
1977-1978,0,0,0,0,15,31,21,11.5,0.5,0,0,0,79,Stevens
1978-1979,0,0,0,0,9,17,12,22,2,T,0,0,62,Stevens
1979-1980,0,0,0,T,1.5,13.1,18.2,10.5,M,0,M,M,M,Stevens
1980-1981,M,0,0,0,5,M,0,1,0,T,0,0,M,Stevens
1981-1982,0,0,0,0,0,M,31.3,9,0,0,0,0,M,Stevens
1982-1983,0,0,0,0,2.6,23.5,14.5,6,0,0,0,0,46.6,Stevens
1983-1984,0,0,0,0,M,12.5,15,M,0,0,0,0,M,Stevens
1984-1985,0,0,0,0,22.5,29.5,1.5,13.5,4.5,M,0,0,M,Stevens
1985-1986,0,0,0,0,5,13,19.5,15.5,0,0,0,0,53,Stevens
1986-1987,0,0,0,0,6,12,5,3,T,0,0,0,26,Stevens
1987-1988,0,0,0,0,0.5,15.5,7,10,0,0,0,0,33,Stevens
1988-1989,0,0,0,0,4,20.5,8.5,12,3,0,0,0,48,Stevens
1989-1990,0,0,0,0,1,1.5,12,16,0,0,0,0,30.5,Stevens
1990-1991,0,0,0,0,2.5,30.5,20.5,3,1.5,0,0,0,58,Stevens
1991-1992,0,0,0,0,10.5,1.5,14,3,0,0,0,0,29,Stevens
1992-1993,0,0,0,0,1.5,24.5,19,3.5,2,0,0,0,50.5,Stevens
1993-1994,0,0,0,0,2.6,19,5,11,0,0,0,0,37.6,Stevens
1994-1995,0,M,0,0,16.5,13.5,5.5,3,0.5,0,0,0,M,Stevens
1995-1996,0,0,0,0,8.2,17.1,16.6,5.5,0.5,0,0,0,47.9,Stevens
1996-1997,0,0,0,T,30,34,16,6.5,8.5,0,0,0,95,Stevens
1997-1998,0,0,0,0,T,11.5,15,T,T,0,0,0,26.5,Stevens
1998-1999,0,0,0,0,0,19.5,7,5,T,0,0,0,31.5,Stevens
1999-2000,0,0,0,0,0.5,10,28,3.5,T,0,0,0,42,Stevens
2000-2001,0,0,0,0,6,17.5,7.5,8.5,1.5,T,0,0,M,Stevens
2001-2002,0,0,0,0,6,19,14,6,7,0,0,0,52,Stevens
2002-2003,0,0,0,0,0,20,21,T,3,T,0,0,44,Stevens
2003-2004,0,0,0,0,10,21,26,4,3,0,0,0,64,Stevens
2004-2005,0,0,0,T,5,17,13,0,1,0,0,0,36,Stevens
2005-2006,0,0,0,0,6,7,5,1,1.5,0,0,0,20.5,Stevens
2006-2007,0,0,0,T,8.5,16,15.5,8.5,0.5,1,0,M,M,Stevens
2007-2008,0,0,0,0,4.3,M,22.5,5.8,1.1,T,0,0,M,Stevens
2008-2009,0,0,0,0,0.3,42.1,13,6,0.2,1.2,0,0,M,Stevens
2009-2010,0,0,0,0.1,0.5,M,M,T,0,0,0,M,M,Stevens
2010-2011,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
2011-2012,M,M,M,M,M,8.7,12.4,13.4,4.7,0,M,M,M,Stevens
2012-2013,M,M,M,M,M,17.2,12.1,1,1,0,0,M,M,Stevens
2013-2014,0,M,M,0,1.1,9.3,9.3,10.1,3.2,0,0,0,M,Stevens
2014-2015,0,0,0,0,7.1,5.7,15.2,2.6,T,0,0,0,M,Stevens
2015-2016,0,M,0,0,4.6,10.6,8.1,2.5,T,0,0,0,M,Stevens
2016-2017,M,0,M,M,M,16.7,8.6,21.8,0.7,0,M,M,M,Stevens
2017-2018,M,M,M,M,M,14.6,13.4,10.1,T,0,0,M,M,Stevens
2018-2019,M,M,M,M,M,14.5,3.3,22.8,5.5,0,0,0,M,Stevens
2019-2020,0,0,0,T,T,18.3,32.5,7.3,0.4,0.3,0,0,58.8,Stevens
2020-2021,0,0,0,5.5,7.7,17.6,8.3,13.4,0.3,T,0,0,52.8,Stevens
2021-2022,0,0,0,0,7,18.7,18.4,8.3,3.7,0,0,0,56.1,Stevens
