Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
2001-2002,M,0,0,M,0,0,0,0,0,0,0,M,M,Cowlitz
2002-2003,0,0,0,0,0,0,0,M,0,0,0,0,M,Cowlitz
2003-2004,0,0,0,0,0,0,M,0,0,0,0,0,M,Cowlitz
2004-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowlitz
2005-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowlitz
2006-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowlitz
2007-2008,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowlitz
2008-2009,0,0,0,0,0,M,0,0,0,0,0,0,M,Cowlitz
2009-2010,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowlitz
2010-2011,0,0,0,0,M,0,M,M,M,M,M,M,M,Cowlitz
2011-2012,M,M,M,M,M,M,M,M,M,M,M,M,M,Cowlitz
2012-2013,M,M,M,M,M,M,M,M,M,M,M,M,M,Cowlitz
2013-2014,M,M,M,M,M,M,M,M,M,M,M,M,M,Cowlitz
2014-2015,M,M,M,M,M,M,M,M,M,M,M,M,M,Cowlitz
2015-2016,M,M,M,M,M,M,M,M,M,M,M,M,M,Cowlitz
2016-2017,M,0,M,M,M,M,M,M,M,M,M,M,M,Cowlitz
2017-2018,M,M,M,M,M,M,M,M,M,M,M,M,M,Cowlitz
2018-2019,M,M,M,M,M,M,M,M,M,M,M,M,M,Cowlitz
2019-2020,M,M,M,M,M,M,M,M,M,M,M,M,M,Cowlitz
2020-2021,M,M,M,M,M,M,M,M,M,M,M,M,M,Cowlitz
2021-2022,M,M,M,M,M,M,M,M,M,M,M,M,M,Cowlitz
