Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1966-1967,0,0,0,0,1,4.3,3.8,0.5,T,0,0,0,9.6,Chelan
1967-1968,0,0,0,0,1.5,12.2,20.4,2,0,T,0,0,36.1,Chelan
1968-1969,0,0,0,0,1,25.9,28.8,23.2,0.5,0,0,0,79.4,Chelan
1969-1970,0,0,0,0,0,18.9,28.1,1,T,T,0,0,48,Chelan
1970-1971,0,0,0,0,4.5,30.9,20,0.5,8.8,0,0,0,64.7,Chelan
1971-1972,0,0,0,0.3,3,44.5,15,3.5,9,T,0,0,75.3,Chelan
1972-1973,0,0,0,0,0,4.1,9,0.5,0,0,0,0,13.6,Chelan
1973-1974,0,0,0,0,13,23.8,6.5,1.5,0.5,0,0,0,45.3,Chelan
1974-1975,0,0,0,0,0,5.5,20,18,1,1,0,0,45.5,Chelan
1975-1976,0,0,0,0,3,13.5,6,8.5,T,0,0,0,31,Chelan
1976-1977,0,0,0,0,0,7,2,0,0,0,0,0,9,Chelan
1977-1978,0,0,0,0,2.5,12,6.7,7.5,0,0,0,0,28.7,Chelan
1978-1979,0,0,0,0,4,4,9,14,0.5,0,0,0,31.5,Chelan
1979-1980,0,0,0,0,0,12,25,13,0,0,0,0,50,Chelan
1980-1981,0,0,0,0,1,8,2.5,3,0,0,0,0,14.5,Chelan
1981-1982,0,0,0,0,0,16,16.5,2,0,0,0,0,34.5,Chelan
1982-1983,0,0,0,0,6,15.5,7.5,5,0,0,0,0,34,Chelan
1983-1984,0,0,0,0,4,9,0,T,0,0,0,0,13,Chelan
1984-1985,0,0,0,0,M,M,3,11.1,M,T,0,0,M,Chelan
1985-1986,0,0,0,0,7.5,9.5,M,14.5,0,0,0,0,M,Chelan
1986-1987,0,0,0,0,T,8.8,14.5,8.5,0.5,0,0,0,32.3,Chelan
1987-1988,0,0,0,0,0,17.5,11.3,0.3,0,0,0,0,29.1,Chelan
1988-1989,0,0,0,0,0.5,10.7,2,M,6,0,0,0,M,Chelan
1989-1990,0,0,0,0,0.5,0.3,4.6,7.3,0,0,0,0,12.7,Chelan
1990-1991,0,0,0,0,0,4.6,2.9,0,2.1,0,0,0,9.6,Chelan
1991-1992,0,0,0,T,M,0.6,4.2,0.3,0,0,0,0,M,Chelan
1992-1993,0,0,0,0,2.1,18.3,13.8,6.5,2.5,0,0,0,43.2,Chelan
1993-1994,0,0,0,0,1.5,12.2,4,1.1,0,0,0,0,18.8,Chelan
1994-1995,0,0,0,0,9.1,10.2,6.4,2.3,0,0,0,0,28,Chelan
1995-1996,0,0,0,0,4.1,11,M,4.1,1,0,0,0,M,Chelan
1996-1997,0,0,0,0,M,36.9,1.2,5.5,6.1,0,0,0,M,Chelan
1997-1998,0,0,0,0,0,2.3,15.2,T,1.1,0,0,0,18.6,Chelan
1998-1999,0,0,0,0,0,15.5,9.8,1.6,0.5,0,0,0,27.4,Chelan
1999-2000,0,0,0,T,0,4.5,13.7,5,T,0,0,0,23.2,Chelan
2000-2001,0,0,0,0,4.8,8.3,2.9,3.7,0,0,0,0,19.7,Chelan
2001-2002,0,0,0,0,5,7.7,1.1,1.5,T,0,0,0,15.3,Chelan
2002-2003,0,0,0,0,0,1.9,13.2,0,0.1,0,0,0,15.2,Chelan
2003-2004,0,0,0,0,T,9.2,10.9,0.4,0,0,0,0,20.5,Chelan
2004-2005,0,0,0,0,0,2.8,2.5,T,0,0,0,0,5.3,Chelan
2005-2006,0,0,0,0,0.6,0.3,0.6,0.1,0,0,0,0,1.6,Chelan
2006-2007,0,0,0,0,0.5,10.5,0.6,5.7,0,0,0,0,M,Chelan
2007-2008,0,0,0,0,1.3,18.1,17.4,1.3,0.3,0,0,0,M,Chelan
2008-2009,0,0,0,0,0,M,10.2,2.8,0,0,0,M,M,Chelan
2009-2010,0,0,0,0,0.1,6.4,4.7,0,0,0,0,0,11.2,Chelan
2010-2011,0,0,0,0,M,14.1,M,0.3,M,0,0,0,M,Chelan
2011-2012,0,0,0,0,2.4,T,4.3,4,M,M,0,M,M,Chelan
2012-2013,M,M,M,M,4.5,M,M,0,T,0,M,0,M,Chelan
2013-2014,0,M,M,0,M,M,M,M,0,0,0,0,M,Chelan
2014-2015,0,0,0,0,M,M,M,M,M,M,0,M,M,Chelan
2015-2016,M,M,M,0,M,M,24,2,M,0,0,0,M,Chelan
2016-2017,M,0,M,M,M,M,M,M,M,M,M,M,M,Chelan
2017-2018,M,M,M,M,M,M,M,M,M,M,M,M,M,Chelan
2018-2019,M,M,M,M,M,M,M,M,M,M,M,M,M,Chelan
2019-2020,M,M,M,M,M,M,M,M,M,M,M,M,M,Chelan
2020-2021,M,M,M,M,M,M,M,M,M,M,M,M,M,Chelan
2021-2022,M,M,0,0,3.5,10.8,24,1,0,T,0,0,M,Chelan
