"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1962","1.28","M","1.20","0.85","2.01","0.78","0.19","0.88","1.55","1.38","2.07","1.93","M"
"1963","0.36","1.59","1.00","1.43","1.17","2.78","1.20","0.71","1.32","0.72","2.40","2.07","16.75"
"1964","3.51","0.11","1.47","1.13","0.78","2.42","0.79","2.20","0.89","0.32","2.89","3.95","20.46"
"1965","3.29","1.88","0.27","0.72","1.59","0.75","1.17","2.87","0.79","0.24","2.98","2.08","18.63"
"1966","2.42","0.53","1.80","0.62","1.09","1.67","1.26","0.60","0.56","1.17","3.75","3.78","19.25"
"1967","2.97","0.63","1.57","1.96","1.33","0.98","0.17","0.16","0.21","3.37","1.62","2.52","17.49"
"1968","2.67","1.44","1.30","0.62","1.62","3.01","1.08","3.31","1.08","2.57","2.90","5.02","26.62"
"1969","3.33","1.81","0.43","2.61","1.95","1.90","0.65","0.02","1.95","0.96","1.13","2.26","19.00"
"1970","3.38","1.49","1.09","0.85","0.79","4.16","1.00","0.66","0.86","1.69","1.27","3.05","20.29"
"1971","1.88","1.47","1.78","1.37","1.66","1.77","0.99","0.59","1.90","1.21","2.07","3.53","20.22"
"1972","1.65","1.03","1.51","1.70","1.99","2.10","1.81","0.81","1.96","0.55","2.25","2.69","20.05"
"1973","1.99","0.84","1.33","0.57","1.43","0.67","0.36","0.65","1.25","1.78","4.93","4.33","20.13"
"1974","2.48","1.80","1.52","1.62","1.29","0.17","2.13","0.71","0.36","0.07","3.87","3.86","19.88"
"1975","2.21","2.53","1.70","1.59","1.03","2.51","1.60","2.36","0.26","2.24","2.06","2.52","22.61"
"1976","2.21","1.35","1.71","1.14","2.06","1.76","2.11","4.25","0.32","1.33","0.78","1.17","20.19"
"1977","1.02","0.71","1.49","0.22","2.11","1.23","0.68","1.22","1.78","0.74","2.38","3.95","17.53"
"1978","2.61","1.74","1.07","2.41","2.40","1.56","1.63","2.57","1.26","0.48","1.13","1.15","20.01"
"1979","0.95","3.40","0.70","1.19","2.62","0.54","0.86","1.31","1.09","1.79","0.61","2.23","17.29"
"1980","1.76","3.33","1.56","1.27","M","M","M","1.23","1.13","2.04","2.05","3.19","M"
"1981","0.81","2.43","1.30","1.44","2.95","3.88","2.59","1.16","1.35","2.07","M","M","M"
"1982","2.72","1.96","2.62","1.37","0.55","3.58","2.32","3.53","2.23","1.13","2.17","3.53","27.71"
"1983","2.92","2.08","3.49","1.95","1.51","2.31","3.35","1.79","0.44","1.35","1.86","2.24","25.29"
"1984","1.36","0.65","1.67","2.53","1.66","3.92","0.15","1.41","1.14","1.04","2.15","2.90","20.58"
"1985","0.03","0.96","1.15","M","1.95","1.35","1.10","2.74","2.26","2.07","1.49","0.61","M"
"1986","1.93","1.80","0.87","1.91","1.23","1.44","1.33","0.03","3.23","0.12","2.02","0.99","16.90"
"1987","0.29","1.11","2.34","0.76","2.78","1.67","2.50","0.83","0.45","0.25","1.86","3.38","18.22"
"1988","0.93","0.88","2.33","1.28","1.75","2.49","0.20","0.54","2.70","0.29","3.45","1.67","18.51"
"1989","0.79","1.38","2.37","1.95","2.87","1.96","0.83","2.30","0.22","1.13","2.19","0.81","18.80"
"1990","2.34","1.19","0.52","2.29","4.23","3.19","1.69","2.14","0.02","1.96","0.96","2.72","23.25"
"1991","1.94","0.79","1.28","0.93","3.22","2.41","1.46","0.99","0.56","0.40","2.51","1.22","17.71"
"1992","2.72","1.45","0.65","2.07","0.64","4.13","2.45","0.54","0.44","1.21","3.15","1.76","21.21"
"1993","1.67","0.26","0.90","2.17","1.30","2.54","3.39","1.32","1.44","0.46","0.53","2.97","18.95"
"1994","1.58","1.43","0.43","2.10","1.92","2.69","0.39","M","0.82","0.77","2.80","2.88","M"
"1995","2.98","0.61","2.86","1.41","0.62","2.71","1.56","0.87","1.23","2.35","2.59","2.84","22.63"
"1996","1.73","2.36","0.48","2.45","4.46","2.63","0.72","0.65","0.74","2.96","3.64","3.10","25.92"
"1997","2.33","1.24","2.01","2.23","4.30","2.45","2.62","0.85","3.69","1.71","1.01","1.11","25.55"
"1998","2.41","1.19","2.64","1.75","6.48","1.88","2.84","0.20","0.75","1.06","2.48","4.02","27.70"
"1999","1.48","2.38","0.88","1.43","1.37","2.54","1.88","0.41","0.02","1.31","2.34","2.41","18.45"
"2000","2.40","1.79","3.42","1.98","1.57","1.35","0.47","0.18","1.18","1.00","1.21","1.24","17.79"
"2001","0.68","0.54","1.87","1.99","1.06","2.31","0.87","0.29","0.58","1.86","1.61","3.26","16.92"
"2002","1.69","1.40","0.66","0.97","2.34","1.05","0.78","0.34","0.72","T","1.80","4.55","16.30"
"2003","4.15","1.37","2.24","2.41","1.81","0.76","0.00","0.15","1.06","1.59","1.64","1.92","19.10"
"2004","6.29","1.03","1.46","0.95","2.72","1.80","1.00","3.66","2.24","1.77","1.45","2.61","26.98"
"2005","2.00","T","1.47","1.20","1.82","3.44","1.36","0.54","0.54","1.59","2.71","2.89","19.56"
"2006","3.96","0.88","1.13","2.56","2.44","2.79","0.75","0.39","0.45","0.61","4.26","2.21","22.43"
"2007","1.59","2.08","1.89","0.94","1.21","M","M","0.29","0.73","1.53","M","2.75","M"
"2008","2.19","0.84","1.58","0.84","1.26","2.44","0.12","1.16","1.29","1.08","2.36","2.94","M"
"2009","1.51","1.19","1.36","0.83","1.64","1.31","1.15","0.68","0.57","2.10","2.53","2.01","16.88"
"2010","M","2.58","1.10","1.90","0.44","M","M","M","M","M","M","M","M"
"2011","M","M","M","M","M","M","0.92","0.03","0.04","1.16","2.25","0.96","M"
"2012","1.32","1.60","3.02","2.38","1.43","7.14","0.82","0.09","0.33","2.81","3.50","2.91","27.35"
"2013","1.33","0.49","1.21","1.49","1.88","2.66","0.26","0.11","2.79","0.41","1.63","1.17","15.43"
"2014","1.01","1.01","2.27","1.95","1.89","3.90","0.50","1.99","0.89","1.95","2.71","1.92","21.99"
"2015","1.77","1.64","1.71","0.43","1.65","1.30","0.49","1.05","0.52","1.71","2.33","3.35","17.95"
"2016","2.76","1.26","3.04","1.24","1.60","2.09","0.72","0.05","0.39","5.26","2.40","1.80","22.61"
"2017","1.13","3.32","2.40","2.18","1.73","1.12","T","0.06","0.64","1.34","2.44","2.09","18.45"
"2018","2.73","1.56","1.88","2.76","2.71","1.71","0.31","0.35","M","M","M","2.37","M"
"2019","1.45","1.68","0.73","1.41","0.54","1.06","0.77","0.79","2.70","0.83","1.11","2.04","15.11"
"2020","4.36","0.70","0.69","0.54","3.71","2.65","0.64","0.27","0.50","3.04","1.67","2.24","21.01"
"2021","3.12","1.47","0.57","1.01","0.28","0.86","0.03","1.56","1.04","2.83","2.98","1.85","17.60"
"2022","1.81","0.88","1.52","0.71","1.80","3.11","1.16","T","0.45","M","M","M","M"
