"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1941","M","M","48.9","M","52.3","M","63.2","60.4","55.4","52.0","M","39.3","M"
"1942","40.1","M","M","M","52.5","56.1","64.0","63.3","M","53.4","M","M","M"
"1943","34.6","42.8","41.2","48.7","M","M","M","M","59.4","52.4","45.8","40.4","M"
"1944","41.0","40.8","42.2","46.8","51.7","M","60.5","M","M","54.8","45.9","M","M"
"1945","41.8","41.8","M","M","M","55.3","M","M","55.6","52.0","41.4","39.1","M"
"1946","40.1","40.4","42.4","45.3","54.1","54.6","M","M","M","47.1","40.4","38.9","M"
"1947","35.5","43.8","M","49.2","54.2","56.3","59.2","58.6","57.8","50.0","42.3","41.6","M"
"1948","38.7","37.8","41.0","43.0","50.7","59.7","59.1","58.6","55.8","50.1","41.0","34.9","47.6"
"1949","31.4","36.4","43.6","46.9","53.2","54.4","57.6","58.2","M","47.7","49.4","38.6","M"
"1950","26.8","39.2","41.0","44.1","48.4","57.7","59.8","60.6","56.9","48.8","42.8","44.8","47.6"
"1951","37.8","40.3","38.5","48.5","51.7","57.7","60.5","59.4","57.9","50.0","43.9","37.0","48.6"
"1952","36.6","39.9","41.2","46.4","51.7","52.7","59.8","60.1","59.2","56.2","43.3","41.6","49.1"
"1953","43.4","40.8","42.1","46.1","51.0","53.1","59.6","60.0","58.2","53.0","46.3","42.5","49.7"
"1954","35.6","41.0","39.7","42.8","51.0","53.4","56.3","58.1","58.2","51.2","48.9","40.6","M"
"1955","39.8","38.3","38.4","42.0","47.5","54.8","56.1","57.2","56.0","50.8","40.1","37.4","46.5"
"1956","38.7","35.9","40.1","49.0","54.7","54.2","60.9","60.6","57.5","49.1","43.8","41.1","48.8"
"1957","34.4","38.8","43.0","48.1","54.0","56.6","57.8","58.6","61.4","51.0","44.0","42.3","49.2"
"1958","M","46.4","43.1","46.6","56.1","61.6","64.8","61.4","M","51.8","42.2","45.2","M"
"1959","39.9","40.2","42.5","47.1","M","55.6","61.1","58.2","55.4","50.7","44.1","40.4","M"
"1960","38.9","40.8","42.4","46.9","49.3","54.9","M","59.4","57.3","52.5","43.7","40.9","M"
"1961","43.7","43.0","43.0","45.3","51.1","59.2","63.3","64.3","55.8","48.4","42.1","M","M"
"1962","39.7","43.0","40.1","47.5","M","54.1","58.7","59.3","57.6","52.2","45.2","43.6","M"
"1963","36.2","47.6","42.4","46.7","52.3","55.7","58.6","60.8","61.4","52.5","43.8","43.0","50.1"
"1964","40.6","41.1","42.2","44.5","49.7","55.8","58.4","59.2","56.0","52.0","41.1","36.3","48.1"
"1965","38.2","41.8","44.9","48.0","49.2","54.9","61.0","61.4","55.2","53.7","46.5","38.7","49.5"
"1966","40.0","41.8","43.1","47.0","50.8","55.0","58.1","59.5","59.0","50.2","45.1","43.4","M"
"1967","41.8","42.3","39.9","43.6","51.1","59.5","60.9","64.0","60.8","52.5","45.2","39.7","M"
"1968","39.5","45.4","45.8","44.8","52.1","54.9","61.3","59.2","57.5","49.7","44.9","M","M"
"1969","30.8","38.1","44.6","46.3","54.4","60.7","58.6","58.0","57.6","50.2","46.2","43.8","M"
"1970","39.9","45.8","44.3","43.5","50.2","M","59.6","59.6","55.1","49.8","43.3","38.6","M"
"1971","38.2","41.2","39.8","45.9","51.4","52.4","60.2","M","55.1","49.4","43.9","36.4","M"
"1972","M","M","43.7","42.1","55.2","56.5","60.5","64.1","53.9","49.8","44.5","M","M"
"1973","38.7","43.2","43.5","47.8","53.5","56.6","60.4","58.5","59.5","50.0","40.7","42.2","49.6"
"1974","38.4","41.2","43.2","47.6","49.2","56.8","59.0","62.0","62.6","52.9","45.6","42.9","50.2"
"1975","38.7","39.9","41.8","44.3","52.5","55.1","61.8","59.3","61.4","49.8","43.0","39.9","49.0"
"1976","41.6","40.3","40.3","47.3","51.6","54.5","59.8","60.0","60.6","52.6","46.1","42.6","M"
"1977","39.2","45.9","42.5","49.6","51.1","57.4","59.5","65.0","57.0","51.2","41.8","M","M"
"1978","42.7","44.3","46.7","48.3","52.3","61.1","63.5","61.6","57.6","54.3","41.0","35.8","50.8"
"1979","35.2","39.7","46.7","48.6","54.8","56.3","62.4","62.9","62.4","54.9","44.7","43.8","M"
"1980","35.3","44.9","43.6","50.1","52.7","55.5","61.4","60.4","59.2","54.6","46.2","43.2","50.6"
"1981","44.5","44.3","47.5","48.6","52.9","54.8","59.9","64.4","59.9","51.3","45.9","39.6","51.2"
