"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1952","29.2","38.3","41.8","52.9","57.6","61.9","69.8","68.8","63.8","54.9","33.6","36.0","50.8"
"1953","45.3","39.6","44.3","47.5","54.0","58.2","68.7","68.5","63.2","52.1","44.2","38.7","52.1"
"1954","32.6","38.2","39.2","47.5","56.7","59.0","67.8","64.3","59.2","48.1","45.5","34.3","M"
"1955","32.3","34.3","36.9","44.7","52.5","63.7","67.2","67.0","60.0","51.8","33.5","32.0","48.1"
"1956","34.2","27.5","42.5","51.8","58.8","61.0","70.9","67.9","60.9","49.5","36.1","36.9","M"
"1957","18.9","35.3","42.8","50.5","59.2","63.9","67.6","64.9","62.4","48.0","40.1","39.9","49.5"
"1958","37.4","47.0","42.4","48.6","62.8","67.4","75.2","75.0","61.3","52.9","41.7","37.4","54.2"
"1959","35.3","35.6","43.6","50.4","53.0","63.5","71.7","66.6","59.5","51.0","38.0","33.9","50.3"
"1960","24.5","37.5","43.0","49.6","53.7","63.2","75.0","66.5","61.2","52.9","41.7","30.6","49.9"
"1961","35.7","44.1","45.2","48.6","56.2","69.6","73.9","75.1","57.9","50.0","36.2","34.7","M"
"1962","32.0","37.7","40.3","51.4","51.7","61.3","68.3","66.3","62.2","51.0","43.2","37.9","50.4"
"1963","26.4","41.5","45.0","47.2","57.0","63.0","67.1","70.4","66.6","55.3","43.6","32.1","51.4"
"1964","39.3","38.5","40.8","46.7","54.3","62.4","70.5","65.5","58.7","50.9","39.1","32.0","49.9"
"1965","34.6","40.3","40.2","51.8","55.1","63.1","71.4","70.6","58.0","55.5","44.5","35.5","51.8"
"1966","36.7","38.4","44.1","49.8","58.8","60.9","68.6","69.7","65.1","51.6","44.3","40.0","52.5"
"1967","41.2","40.8","42.0","44.7","55.3","66.3","73.3","75.1","68.1","53.4","40.9","35.0","53.1"
"1968","36.4","41.5","47.6","46.3","57.0","64.0","73.9","67.0","62.8","49.5","41.5","32.7","51.7"
"1969","22.2","34.9","43.4","49.7","59.6","67.8","69.5","68.0","63.6","48.0","42.7","35.7","50.5"
"1970","M","39.8","41.8","44.4","56.7","68.0","73.7","71.7","57.1","49.3","41.3","36.2","M"
"1971","38.2","39.2","39.0","46.8","57.6","57.6","70.3","74.8","57.2","47.7","40.9","35.2","50.3"
"1972","M","34.7","45.6","46.2","58.5","64.5","69.9","73.2","59.6","50.4","42.4","28.1","M"
"1973","30.9","38.1","44.5","48.8","59.1","M","M","69.0","61.8","51.5","39.8","40.2","M"
"1974","27.6","41.3","43.4","49.0","53.2","66.5","70.5","71.3","64.6","M","43.3","38.1","M"
"1975","33.9","34.9","40.0","44.6","55.3","61.0","74.1","66.5","63.4","51.8","40.5","37.4","50.4"
"1976","37.3","37.1","40.4","48.4","57.2","60.6","70.3","67.1","65.5","51.8","41.5","34.8","51.1"
"1977","26.2","39.5","41.9","52.6","53.0","68.4","69.5","74.0","58.8","50.2","39.4","35.4","50.7"
"1978","33.2","39.4","45.4","48.7","54.1","65.4","70.5","68.5","59.7","51.7","34.4","29.3","50.2"
"1979","16.3","36.1","45.4","49.0","58.0","65.9","72.2","71.4","65.4","M","36.8","39.0","M"
"1980","27.3","37.4","41.6","53.5","56.2","59.5","71.4","M","62.3","51.0","41.6","38.7","M"
"1981","36.6","39.1","45.3","49.1","56.0","59.2","M","74.0","63.2","50.1","44.0","36.7","M"
"1982","33.7","36.9","43.3","46.2","56.3","66.4","70.4","70.6","61.1","49.7","36.7","35.3","50.6"
"1983","40.2","42.9","46.2","49.0","58.5","62.5","67.5","73.2","57.9","51.3","44.9","24.0","51.5"
"1984","33.8","37.7","45.0","47.8","53.4","60.3","71.3","71.8","59.3","47.6","41.2","28.2","M"
"1985","25.0","31.4","41.6","51.7","58.3","63.9","76.0","66.8","55.5","48.7","27.5","19.5","47.3"
"1986","34.6","37.9","47.7","48.5","57.1","68.8","66.7","74.7","57.3","53.2","41.3","31.9","M"
