"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1965","29.8","30.0","31.8","46.9","51.6","59.9","66.7","65.9","51.9","48.5","37.0","29.5","45.9"
"1966","28.0","31.6","36.9","44.9","54.8","57.2","64.9","64.3","60.9","45.6","35.8","32.8","46.6"
"1967","31.0","34.1","35.6","41.7","52.5","62.1","66.4","68.9","62.9","46.6","35.1","26.5","M"
"1968","26.7","34.8","41.0","43.0","52.4","59.6","67.4","62.4","57.2","43.4","34.4","23.7","45.5"
"1969","17.7","28.4","35.7","46.4","55.6","62.8","63.2","63.5","57.8","42.6","35.0","29.5","44.9"
"1970","24.8","33.1","36.1","41.5","53.5","63.9","68.5","66.3","52.1","42.9","34.2","25.9","45.3"
"1971","27.4","31.2","33.4","45.1","M","58.0","65.7","68.9","52.6","42.9","33.9","24.5","M"
"1972","21.3","30.0","40.0","42.0","54.9","59.8","63.4","67.1","51.6","43.4","35.8","22.8","44.3"
"1973","22.6","31.3","38.0","44.0","54.1","59.4","67.3","M","56.9","45.0","31.5","30.7","M"
"1974","22.3","32.2","36.4","45.9","49.3","63.1","64.9","64.1","56.0","44.1","34.9","M","M"
"1975","22.9","23.6","M","40.2","50.9","M","69.3","60.2","55.3","M","29.8","28.1","M"
"1976","28.5","31.1","M","42.9","52.5","57.3","64.3","60.7","57.0","M","M","M","M"
"1977","19.8","33.0","36.8","48.7","50.7","63.4","65.9","68.5","53.1","43.5","31.6","25.0","M"
"1978","26.3","32.2","39.3","45.6","M","61.7","65.6","63.2","M","43.9","28.9","18.9","M"
"1979","10.6","28.2","M","M","M","60.2","66.4","66.3","58.2","46.2","28.6","32.1","M"
"1980","18.6","30.0","34.6","47.7","55.5","58.7","65.8","61.6","57.3","46.3","36.3","33.0","M"
"1981","32.9","34.2","41.2","45.6","53.4","56.8","65.8","69.6","58.2","43.2","36.6","28.8","M"
"1982","24.8","28.0","37.2","40.4","M","63.8","M","64.6","55.6","44.4","30.9","M","M"
"1983","30.7","M","38.6","M","M","M","M","M","M","43.9","35.2","16.7","M"
"1984","M","M","37.5","42.1","50.6","57.9","65.8","66.3","53.1","41.2","33.1","19.5","M"
"1985","23.0","M","34.7","46.5","55.3","60.2","72.3","63.6","52.0","42.5","20.7","20.6","M"
"1986","29.0","M","41.4","44.2","54.6","65.4","61.3","66.4","49.7","44.3","M","24.9","M"
"1987","23.1","30.8","38.4","49.7","57.0","64.5","66.6","64.5","60.1","45.8","37.9","27.2","47.2"
"1988","25.0","31.4","39.8","50.2","54.7","61.0","66.2","65.5","M","50.7","36.0","27.5","M"
"1989","29.2","22.4","36.8","M","M","63.9","68.1","64.9","59.9","46.1","M","M","M"
"1990","M","29.8","41.6","52.0","54.4","M","M","M","63.2","43.5","37.5","M","M"
"1991","27.5","40.9","M","M","M","M","M","M","M","M","M","31.2","M"
"1992","31.6","36.2","M","46.8","M","67.0","65.7","M","53.8","M","M","M","M"
