Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
2001,26.8,27.7,40.6,48,59.7,60.2,70.1,72.5,64.1,48.2,40.2,31.2,M,Grant
2002,32.3,34.2,35,48.3,54.2,65.1,74.1,68.2,62,M,38.6,33.3,M,Grant
2003,32.6,34.4,41.4,50,M,M,77,M,66.9,55.4,34.4,28.9,M,Grant
2004,M,32.8,46.2,M,57.8,67.2,76.4,75.1,M,52.2,39.6,33,M,Grant
2005,26.6,35.5,45.3,50.8,60.7,65.7,M,74.6,63.4,M,M,24.4,M,Grant
2006,34.9,34.1,40.6,50.4,57.6,64.6,M,71.9,63.9,49.5,35.3,27.3,M,Grant
2007,25.1,33.8,42.9,48.9,58.5,64.5,77,71.9,62.8,48.8,35.5,28.6,M,Grant
2008,22.4,32.1,39.1,44.1,M,63.4,M,72.3,63.2,50.5,38.3,22.2,M,Grant
2009,22.9,28.3,36.7,47.2,58.2,67.1,75.6,73.1,66.1,46.3,38.9,24,M,Grant
2010,33.5,38,43,49.3,53.5,62.3,72.2,70.2,61.9,52.1,34.6,30.3,M,Grant
2011,31,29.5,40.8,44.4,53.9,62.2,68,73,66.7,49.8,36,28.4,48.7,Grant
2012,26.6,32.2,40.3,50.1,56.9,62.1,74,74.3,65.4,50.9,40.1,32.4,50.4,Grant
2013,24.9,33.1,42.2,49.4,58.9,65.1,76.8,73.5,65.4,49,36.2,24.8,50,Grant
2014,29.7,27.6,41.6,49.7,59.4,65.5,77.1,74.3,64.9,54.9,36.1,31.9,51.2,Grant
2015,30,39.6,46.6,49.4,62.2,73.5,76.6,74.4,61.6,55.5,36.4,30.3,53.1,Grant
2016,29.5,37,44.1,56.3,61.4,66.8,71.4,73.3,61.5,50,44.5,23,51.6,Grant
2017,20.3,26.9,40.9,47.8,58.7,66.2,75.7,75.6,64.4,48.1,38.9,26.3,49.3,Grant
2018,30.8,31.4,40.4,48.5,64.2,64.5,75.7,73.1,61.3,49.5,37.6,32.5,50.9,Grant
2019,30.3,21.9,33.7,50.1,61.4,66.8,71,73.7,61.8,45.4,36.8,31.1,48.8,Grant
2020,31.9,35.2,40.7,49.7,58.5,64.4,73.1,73.9,66.3,50.5,37.6,30.6,51.1,Grant
2021,33.4,30.9,42.2,51,58.5,73,79.6,73.9,63.3,50.1,M,27.5,M,Grant
2022,25.2,28.4,43.2,44.4,52.9,63.8,75.5,M,66.9,M,M,M,M,Grant
