Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1959,3.92,1.19,0.43,0.09,3.5,0.58,0.02,0.93,1.85,1,1.36,1.48,16.35,Ferry
1960,1.34,0.85,1.32,M,2.73,0.59,0.07,1.52,0.2,0.83,3.29,1.24,M,Ferry
1961,0.61,2.74,1.62,1.35,2.43,1.45,0.7,0.49,0.13,0.64,1.03,2.4,15.59,Ferry
1962,1.36,1.36,1.42,1.07,1.2,0.94,0.68,2.25,0.52,1.55,1.55,1.28,15.18,Ferry
1963,0.11,0.99,1.47,1.79,1.28,1.88,0.78,0.71,0.94,0.52,2.44,1.63,14.54,Ferry
1964,2.14,0.3,1.25,0.81,0.51,2.52,1.19,1.39,0.92,0.2,2.11,2.34,15.68,Ferry
1965,3.53,0.78,0.2,0.89,0.8,1.38,1.58,2.24,0.35,0.05,2.18,3.38,17.36,Ferry
1966,1.88,0.45,1.31,0.24,0.67,1.47,0.58,1.13,0.94,0.77,1.88,2.75,14.07,Ferry
1967,1.87,0.36,1.2,0.92,0.52,1.48,0.31,0.06,0.4,1.8,0.58,3.36,12.86,Ferry
1968,2.47,0.81,1.36,0.4,2.28,1.1,0.37,3.79,0.58,1.41,1.75,2.97,19.29,Ferry
1969,3.04,2.33,0.41,2.29,0.65,1.35,0.68,T,1.91,0.72,1.1,2.33,16.81,Ferry
1970,1.86,0.8,0.83,0.84,0.27,1.58,0.09,0.74,0.49,1.26,1.16,3.37,13.29,Ferry
1971,1.61,0.63,1.59,1.56,1.86,2.75,0.81,0.37,1.54,1.4,0.88,3.1,18.1,Ferry
1972,0.91,0.81,1.2,1.5,2.1,1.69,0.04,2.44,0.71,T,1.16,1.18,13.74,Ferry
1973,1.52,1.25,0.57,0.47,0.67,1.44,0.16,0.59,2.45,1.8,4.67,3.65,19.24,Ferry
1974,1.8,2.16,1.7,M,0.97,0.1,1.72,0.03,0.37,0.03,2.26,2.51,M,Ferry
