Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1928,26.5,28.9,39.5,43.1,56.7,58.6,67.9,62.8,55.4,45.7,35.6,28.5,M,Pend Oreille
1929,15.3,17.9,M,43,54.5,60.1,M,M,M,M,M,M,M,Pend Oreille
1930,M,M,40.3,M,51.9,57.6,66.5,65.6,56.3,43,M,26.9,M,Pend Oreille
1931,30.5,30.1,38.3,45.8,55.4,59.2,64.4,M,51.2,M,28.6,25.2,M,Pend Oreille
1932,23.1,23.9,33.6,45.6,52.3,60,61.8,M,M,44,38.1,22.6,M,Pend Oreille
1933,27,18.9,34.8,43.9,49.3,59.8,M,64.3,55.3,49,35.7,M,M,Pend Oreille
1934,M,34.6,41,50.9,54.6,58.8,63.7,63.5,51.7,46.2,40.7,30,M,Pend Oreille
1935,25.9,29.2,33,40.7,M,57.5,64.9,61.7,58,43.3,29.3,29,M,Pend Oreille
1936,M,M,34.8,46.9,M,59.5,65.9,63.9,54.6,47,29.1,29.4,M,Pend Oreille
1937,3.9,23.6,37,M,51.4,59.7,67.2,60.4,57,47.8,M,30.7,M,Pend Oreille
1938,M,31.4,38.4,47.4,53.9,63.9,70.4,62.9,63.7,48.9,31.4,29.1,M,Pend Oreille
1939,29.5,24.5,38.2,48.9,57.7,57.5,67.1,66,57.4,45.7,35.8,33.5,46.9,Pend Oreille
1940,24.7,31.9,40.4,46.9,53.8,59.4,66,64.3,61.6,49.5,30.2,29.3,M,Pend Oreille
1941,29.2,33.9,42.6,49.2,53.4,M,70.4,65.8,53,46.5,38.9,30.3,M,Pend Oreille
1942,21.4,29.7,37.2,47.3,51.5,56.6,66.1,65.6,57.7,47.6,32.8,29.7,45.3,Pend Oreille
1943,19.4,30.9,30.1,47.1,49.5,55.8,64.5,61.8,56.8,46.9,35.5,25.9,43.8,Pend Oreille
1944,25.9,29.8,34.7,46.2,53,60.4,65.4,M,58.2,51.1,35.6,26.5,M,Pend Oreille
1945,30.5,33.5,36.3,41.2,54.2,58.2,66.3,65.2,54,48,34,27.9,M,Pend Oreille
1946,28,30.2,39.2,45.9,53.8,57.3,64.5,63.7,54.2,40.8,31.3,28.6,M,Pend Oreille
1947,21,31.9,39.8,45.6,54.9,57.5,63.1,58.8,54.5,46.9,32.4,30.8,44.9,Pend Oreille
1948,24.6,27.4,33.5,42.4,51.9,62.7,M,61.9,55.4,43.6,32.6,21,M,Pend Oreille
1949,7.3,23.2,35.5,46.1,55.4,57.7,64.4,M,55.9,41.2,38.7,27,M,Pend Oreille
1950,7.3,27.4,33.5,41.4,50,58.9,65.5,64.5,55.9,45.3,33.7,31.9,43,Pend Oreille
1951,25.1,28.8,31.2,44,51.9,56.7,65.5,63,55.1,44,34.4,20.9,43.5,Pend Oreille
1952,23.2,29.7,35.2,47.3,53.2,57.8,65.2,64.2,58,47.6,32.4,29.6,45.3,Pend Oreille
1953,35.6,33.3,38.3,43,50.8,55.5,63.4,63.8,55.7,46.5,37.4,32.4,M,Pend Oreille
1954,25,34.4,33.9,42.7,53.4,55.4,63.6,60.2,55.6,43.5,40.7,29.6,44.9,Pend Oreille
1955,27.6,25.9,28.9,39.6,M,59.7,64,62.4,55.7,46.7,27.2,M,M,Pend Oreille
1956,27.3,23,34,46.6,55.1,57.4,66.5,64.1,56.5,45.1,31.2,29.9,M,Pend Oreille
1957,14.2,27.3,36.1,46.2,58.1,60.8,63.9,60.9,58.1,43.3,33,M,M,Pend Oreille
1958,30.1,37.6,37.4,44.3,60,65.1,68.7,68.8,56.3,46.8,33.6,30.7,48.4,Pend Oreille
1959,27.9,29.8,M,46.1,49.7,60.3,66.2,61.2,54.6,45.5,29.1,28.3,M,Pend Oreille
1960,21.7,28.9,36.5,45.1,50.9,60.1,68.9,61.2,56.2,46.4,34.8,27.1,44.8,Pend Oreille
1961,28.4,35.5,39.1,44.2,53.2,64,68.3,70.1,53,44,30.6,25.3,46.4,Pend Oreille
1962,20.5,29.7,33.9,47.5,50.5,57.8,64.2,63.1,56.9,46.8,38.3,33.1,45.3,Pend Oreille
1963,19.9,34.7,39,44.9,52.6,60.6,64.4,66.8,61.5,49.2,36.2,26.9,M,Pend Oreille
1964,28.8,29.2,32.7,43.2,52,59.7,66,60.2,53.2,46.8,33.8,24.1,44.2,Pend Oreille
1965,29.8,30,31.8,46.9,51.6,59.9,66.7,65.9,51.9,48.5,37,29.5,45.9,Pend Oreille
1966,28,31.6,36.9,44.9,54.8,57.2,64.9,64.3,60.9,45.6,35.8,32.8,46.6,Pend Oreille
1967,31,34.1,35.6,41.7,52.5,62.1,66.4,68.9,62.9,46.6,35.1,26.5,M,Pend Oreille
1968,26.7,34.8,41,43,52.4,59.6,67.4,62.4,57.2,43.4,34.4,23.7,45.5,Pend Oreille
1969,17.7,28.4,35.7,46.4,55.6,62.8,63.2,63.5,57.8,42.6,35,29.5,44.9,Pend Oreille
1970,24.8,33.1,36.1,41.5,53.5,63.9,68.5,66.3,52.1,42.9,34.2,25.9,45.3,Pend Oreille
1971,27.4,31.2,33.4,45.1,M,58,65.7,68.9,52.6,42.9,33.9,24.5,M,Pend Oreille
1972,21.3,30,40,42,54.9,59.8,63.4,67.1,51.6,43.4,35.8,22.8,44.3,Pend Oreille
1973,22.6,31.3,38,44,54.1,59.4,67.3,M,56.9,45,31.5,30.7,M,Pend Oreille
1974,22.3,32.2,36.4,45.9,49.3,63.1,64.9,64.1,56,44.1,34.9,M,M,Pend Oreille
1975,22.9,23.6,M,40.2,50.9,M,69.3,60.2,55.3,M,29.8,28.1,M,Pend Oreille
1976,28.5,31.1,M,42.9,52.5,57.3,64.3,60.7,57,M,M,M,M,Pend Oreille
1977,19.8,33,36.8,48.7,50.7,63.4,65.9,68.5,53.1,43.5,31.6,25,M,Pend Oreille
1978,26.3,32.2,39.3,45.6,M,61.7,65.6,63.2,M,43.9,28.9,18.9,M,Pend Oreille
1979,10.6,28.2,M,M,M,60.2,66.4,66.3,58.2,46.2,28.6,32.1,M,Pend Oreille
1980,18.6,30,34.6,47.7,55.5,58.7,65.8,61.6,57.3,46.3,36.3,33,M,Pend Oreille
1981,32.9,34.2,41.2,45.6,53.4,56.8,65.8,69.6,58.2,43.2,36.6,28.8,M,Pend Oreille
1982,24.8,28,37.2,40.4,M,63.8,M,64.6,55.6,44.4,30.9,M,M,Pend Oreille
1983,30.7,M,38.6,M,M,M,M,M,M,43.9,35.2,16.7,M,Pend Oreille
1984,M,M,37.5,42.1,50.6,57.9,65.8,66.3,53.1,41.2,33.1,19.5,M,Pend Oreille
1985,23,M,34.7,46.5,55.3,60.2,72.3,63.6,52,42.5,20.7,20.6,M,Pend Oreille
1986,29,M,41.4,44.2,54.6,65.4,61.3,66.4,49.7,44.3,M,24.9,M,Pend Oreille
1987,23.1,30.8,38.4,49.7,57,64.5,66.6,64.5,60.1,45.8,37.9,27.2,47.2,Pend Oreille
1988,25,31.4,39.8,50.2,54.7,61,66.2,65.5,M,50.7,36,27.5,M,Pend Oreille
1989,29.2,22.4,36.8,M,M,63.9,68.1,64.9,59.9,46.1,M,M,M,Pend Oreille
1990,M,29.8,41.6,52,54.4,M,M,M,63.2,43.5,37.5,M,M,Pend Oreille
1991,27.5,40.9,M,M,M,M,M,M,M,M,M,31.2,M,Pend Oreille
1992,31.6,36.2,M,46.8,M,67,65.7,M,53.8,M,M,M,M,Pend Oreille
1993,M,M,36.8,45.4,M,59.4,61.3,64.5,56.6,48.4,29.3,30.5,M,Pend Oreille
1994,33.9,M,40.7,49.2,M,M,69.1,66.5,M,M,M,M,M,Pend Oreille
1995,M,M,38.6,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1996,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1997,M,M,M,M,M,M,M,M,M,M,M,28.7,M,Pend Oreille
1998,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1999,M,M,M,M,M,M,M,M,55.3,44.2,M,31.5,M,Pend Oreille
2000,25.8,31.6,37.8,M,51.8,58.6,64.1,64.7,M,43.9,M,M,M,Pend Oreille
2001,M,24.3,M,M,M,M,M,M,M,41.4,M,M,M,Pend Oreille
2002,M,27.7,31.1,43.2,49.7,M,M,64.3,M,M,M,33,M,Pend Oreille
2003,32.5,31.4,39.6,M,M,M,69,M,M,49,M,M,M,Pend Oreille
2004,M,33.3,M,48.9,54.5,M,M,M,M,46.2,36.6,M,M,Pend Oreille
2005,26,31.6,41.3,47.8,55.8,M,67.2,65,M,M,M,M,M,Pend Oreille
2006,M,30,M,M,M,M,M,M,M,44.1,M,M,M,Pend Oreille
2007,M,32.4,M,M,M,M,71.1,M,M,M,M,M,M,Pend Oreille
2008,M,30.4,M,M,M,M,M,M,54.3,M,M,M,M,Pend Oreille
2009,M,28.5,M,42,50.2,51.9,M,M,M,M,M,M,M,Pend Oreille
2010,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
2011,26.8,26,37.4,40.8,51.5,57.8,63.4,65.9,60.8,46.9,32.9,27.6,M,Pend Oreille
2012,27.7,31.7,37.3,47.4,52.3,M,M,66.5,58.8,45.8,37.8,30.8,M,Pend Oreille
2013,25.1,33,38,44.4,55.1,59.9,69,68.2,60.8,43.6,32.9,23,46.2,Pend Oreille
2014,28.8,M,37.5,45.1,55.2,59.3,70.3,68.3,58.9,50.1,32.2,29.6,M,Pend Oreille
2015,28.5,35.8,41.9,45.8,57.6,67,69.9,67.7,56.2,51.5,33.8,30.4,48.9,Pend Oreille
2016,29.2,36.3,40.9,52.3,57.1,62.8,66,67,56.2,46.4,41.4,22.3,48.2,Pend Oreille
2017,20.8,28.6,M,44.8,56.4,62.3,69.6,M,58.4,44,M,M,M,Pend Oreille
2018,M,27,M,43.8,M,60,M,65.4,55.6,44.2,34.6,M,M,Pend Oreille
2019,29.3,M,34.1,45.5,56.6,M,66.2,67.9,57.3,40.1,33.5,30.8,M,Pend Oreille
2020,30.9,31.7,M,44.5,53.9,M,65.4,66.9,58.1,44.9,34.3,M,M,Pend Oreille
2021,M,M,M,M,53,M,M,M,M,M,M,M,M,Pend Oreille
2022,M,M,M,M,M,M,70.4,M,M,M,M,M,M,Pend Oreille
